title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,source
Golden Hour,JVKE,5SxZtc0xXmrXcXaoUIQskY,0.326,0.645,4,-4.374,1,0.0442,0.646,0.00521,0.224,0.183,188,spotify:track:5SxZtc0xXmrXcXaoUIQskY,https://api.spotify.com/v1/tracks/5SxZtc0xXmrXcXaoUIQskY,https://api.spotify.com/v1/audio-analysis/5SxZtc0xXmrXcXaoUIQskY,209022,3,H
Under The Influence,Chris Brown,4ud5CYIXZekCQSjFCuByXt,0.727,0.704,9,-5.534,0,0.0426,0.0524,1.78e-06,0.102,0.318,117,spotify:track:4ud5CYIXZekCQSjFCuByXt,https://api.spotify.com/v1/tracks/4ud5CYIXZekCQSjFCuByXt,https://api.spotify.com/v1/audio-analysis/4ud5CYIXZekCQSjFCuByXt,184613,4,H
Something In The Orange,Zach Bryan,5E6XntSpjoOj9kUhsiSdZq,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175,spotify:track:5E6XntSpjoOj9kUhsiSdZq,https://api.spotify.com/v1/tracks/5E6XntSpjoOj9kUhsiSdZq,https://api.spotify.com/v1/audio-analysis/5E6XntSpjoOj9kUhsiSdZq,228013,3,H
Cuff It,Beyonce,2TWRjCC6ERPVgKsvXHfIGA,0.644,0.806,0,-7.22,1,0.104,0.113,0.0,0.501,0.506,105,spotify:track:2TWRjCC6ERPVgKsvXHfIGA,https://api.spotify.com/v1/tracks/2TWRjCC6ERPVgKsvXHfIGA,https://api.spotify.com/v1/audio-analysis/2TWRjCC6ERPVgKsvXHfIGA,208000,4,H
Rock And A Hard Place,Bailey Zimmerman,4TnQPcwIvpxCo1QKrNzT8J,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,122,spotify:track:4TnQPcwIvpxCo1QKrNzT8J,https://api.spotify.com/v1/tracks/4TnQPcwIvpxCo1QKrNzT8J,https://api.spotify.com/v1/audio-analysis/4TnQPcwIvpxCo1QKrNzT8J,207541,3,H
Thank God,Kane Brown With Katelyn Brown,5ekA7j4MPQa3NZbZQSpRfF,0.463,0.84,0,-5.807,1,0.0385,0.00204,2.16e-06,0.197,0.575,100,spotify:track:5ekA7j4MPQa3NZbZQSpRfF,https://api.spotify.com/v1/tracks/5ekA7j4MPQa3NZbZQSpRfF,https://api.spotify.com/v1/audio-analysis/5ekA7j4MPQa3NZbZQSpRfF,214293,4,H
You Proof,Morgan Wallen,6YLZ03vXhMlUSaSjobvZhs,0.73,0.5,9,-11.591,1,0.0381,0.0237,0.914,0.0961,0.826,120,spotify:track:6YLZ03vXhMlUSaSjobvZhs,https://api.spotify.com/v1/tracks/6YLZ03vXhMlUSaSjobvZhs,https://api.spotify.com/v1/audio-analysis/6YLZ03vXhMlUSaSjobvZhs,156615,4,H
Lavender Haze,Taylor Swift,4g2c7NoTWAOSYDy44l9nub,0.735,0.444,10,-10.519,1,0.0684,0.204,0.0012,0.17,0.0984,97,spotify:track:4g2c7NoTWAOSYDy44l9nub,https://api.spotify.com/v1/tracks/4g2c7NoTWAOSYDy44l9nub,https://api.spotify.com/v1/audio-analysis/4g2c7NoTWAOSYDy44l9nub,202396,4,H
Bad Habit,Steve Lacy,4i7HqWsN7iJzsXpsW5h1nb,0.709,0.679,9,-4.828,1,0.0588,0.808,4.61e-05,0.428,0.852,103,spotify:track:4i7HqWsN7iJzsXpsW5h1nb,https://api.spotify.com/v1/tracks/4i7HqWsN7iJzsXpsW5h1nb,https://api.spotify.com/v1/audio-analysis/4i7HqWsN7iJzsXpsW5h1nb,191336,4,H
Thought You Should Know,Morgan Wallen,03BnRR0svyDHLKs4zl9btw,0.502,0.405,6,-14.995,1,0.0351,0.26,0.943,0.126,0.305,70,spotify:track:03BnRR0svyDHLKs4zl9btw,https://api.spotify.com/v1/tracks/03BnRR0svyDHLKs4zl9btw,https://api.spotify.com/v1/audio-analysis/03BnRR0svyDHLKs4zl9btw,213072,4,H
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,7MkylDYvKTSuWgrsBhHlsG,0.535,0.874,9,-2.248,0,0.137,0.371,0.0,0.192,0.323,140,spotify:track:7MkylDYvKTSuWgrsBhHlsG,https://api.spotify.com/v1/tracks/7MkylDYvKTSuWgrsBhHlsG,https://api.spotify.com/v1/audio-analysis/7MkylDYvKTSuWgrsBhHlsG,227562,4,H
Escapism,RAYE Featuring 070 Shake,4D8h7lEUY0tVRGuX17tz3f,0.494,0.67,1,-5.639,1,0.0907,0.162,0.000166,0.0896,0.274,92,spotify:track:4D8h7lEUY0tVRGuX17tz3f,https://api.spotify.com/v1/tracks/4D8h7lEUY0tVRGuX17tz3f,https://api.spotify.com/v1/audio-analysis/4D8h7lEUY0tVRGuX17tz3f,287135,4,H
"Going, Going, Gone",Luke Combs,7l0opbsWwkPAy53jZRUBW9,0.527,0.531,7,-6.381,1,0.0254,0.251,0.0,0.0604,0.411,160,spotify:track:7l0opbsWwkPAy53jZRUBW9,https://api.spotify.com/v1/tracks/7l0opbsWwkPAy53jZRUBW9,https://api.spotify.com/v1/audio-analysis/7l0opbsWwkPAy53jZRUBW9,174507,3,H
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2xOBiq7NMvSBqlDQjVvOek,0.751,0.351,5,-9.674,0,0.0497,0.0266,0.902,0.136,0.431,117,spotify:track:2xOBiq7NMvSBqlDQjVvOek,https://api.spotify.com/v1/tracks/2xOBiq7NMvSBqlDQjVvOek,https://api.spotify.com/v1/audio-analysis/2xOBiq7NMvSBqlDQjVvOek,182667,4,H
Calm Down,Rema & Selena Gomez,6BRtWlr1VmsiPjIFnvg9Qv,0.708,0.475,1,-6.402,0,0.0403,0.229,1.17e-05,0.0465,0.162,125,spotify:track:6BRtWlr1VmsiPjIFnvg9Qv,https://api.spotify.com/v1/tracks/6BRtWlr1VmsiPjIFnvg9Qv,https://api.spotify.com/v1/audio-analysis/6BRtWlr1VmsiPjIFnvg9Qv,190078,4,H
Last Night,Morgan Wallen,5gfPJ45gpn3ThswDyeW0Qc,0.888,0.833,3,-4.381,0,0.0912,0.256,0.00159,0.485,0.962,121,spotify:track:5gfPJ45gpn3ThswDyeW0Qc,https://api.spotify.com/v1/tracks/5gfPJ45gpn3ThswDyeW0Qc,https://api.spotify.com/v1/audio-analysis/5gfPJ45gpn3ThswDyeW0Qc,388226,4,H
Until I Found You,Stephen Sanchez,6VhuP99TE6gYNQRJIlAWFD,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202,spotify:track:6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/tracks/6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/audio-analysis/6VhuP99TE6gYNQRJIlAWFD,176667,3,H
Wait In The Truck,HARDY Featuring Lainey Wilson,7vsjRWuOxWYa20jZbtMqu0,0.515,0.189,6,-21.907,1,0.0379,0.475,0.897,0.112,0.0657,70,spotify:track:7vsjRWuOxWYa20jZbtMqu0,https://api.spotify.com/v1/tracks/7vsjRWuOxWYa20jZbtMqu0,https://api.spotify.com/v1/audio-analysis/7vsjRWuOxWYa20jZbtMqu0,278334,4,H
The Kind Of Love We Make,Luke Combs,78Tn2vzu5tAClU4b3I58ME,0.507,0.499,1,-10.771,1,0.028,0.0244,0.912,0.104,0.563,204,spotify:track:78Tn2vzu5tAClU4b3I58ME,https://api.spotify.com/v1/tracks/78Tn2vzu5tAClU4b3I58ME,https://api.spotify.com/v1/audio-analysis/78Tn2vzu5tAClU4b3I58ME,223246,4,H
I Like You (A Happier Song),Post Malone Featuring Doja Cat,6f7BE3VcZScJx6n3wsf5Z3,0.48,0.526,5,-7.099,1,0.275,0.071,0.0,0.0879,0.374,200,spotify:track:6f7BE3VcZScJx6n3wsf5Z3,https://api.spotify.com/v1/tracks/6f7BE3VcZScJx6n3wsf5Z3,https://api.spotify.com/v1/audio-analysis/6f7BE3VcZScJx6n3wsf5Z3,267733,3,H
Shirt,SZA,4NLBrPnLcOgyoOUFmRsDbt,0.831,0.5,3,-7.941,0,0.0965,0.24,0.00682,0.0898,0.532,120,spotify:track:4NLBrPnLcOgyoOUFmRsDbt,https://api.spotify.com/v1/tracks/4NLBrPnLcOgyoOUFmRsDbt,https://api.spotify.com/v1/audio-analysis/4NLBrPnLcOgyoOUFmRsDbt,181840,4,H
Heart Like A Truck,Lainey Wilson,3YaTU6ysrQHdpocY4PExjB,0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,140,spotify:track:3YaTU6ysrQHdpocY4PExjB,https://api.spotify.com/v1/tracks/3YaTU6ysrQHdpocY4PExjB,https://api.spotify.com/v1/audio-analysis/3YaTU6ysrQHdpocY4PExjB,199040,4,H
Wait For U,Future Featuring Drake & Tems,4du1sHf5pUhdEEwqtmOAi2,0.652,0.243,1,-11.868,1,0.034,0.946,0.034,0.11,0.193,136,spotify:track:4du1sHf5pUhdEEwqtmOAi2,https://api.spotify.com/v1/tracks/4du1sHf5pUhdEEwqtmOAi2,https://api.spotify.com/v1/audio-analysis/4du1sHf5pUhdEEwqtmOAi2,193936,4,H
Snooze,SZA,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,89,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4,H
Sure Thing,Miguel,4VCbKkAKlEQrGJ4yO9SsSS,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81,spotify:track:4VCbKkAKlEQrGJ4yO9SsSS,https://api.spotify.com/v1/tracks/4VCbKkAKlEQrGJ4yO9SsSS,https://api.spotify.com/v1/audio-analysis/4VCbKkAKlEQrGJ4yO9SsSS,195373,4,H
Bebe Dame,Fuerza Regida X Grupo Frontera,5x3RvunGAJ3Ws7r5yhFKeB,0.651,0.423,7,-11.99,1,0.0494,0.057,0.0,0.186,0.782,144,spotify:track:5x3RvunGAJ3Ws7r5yhFKeB,https://api.spotify.com/v1/tracks/5x3RvunGAJ3Ws7r5yhFKeB,https://api.spotify.com/v1/audio-analysis/5x3RvunGAJ3Ws7r5yhFKeB,187929,4,H
Players,Coi Leray,10RmUrJ28kkj7XgekcfZpc,0.952,0.507,6,-5.742,0,0.168,0.038,3.29e-05,0.0511,0.609,105,spotify:track:10RmUrJ28kkj7XgekcfZpc,https://api.spotify.com/v1/tracks/10RmUrJ28kkj7XgekcfZpc,https://api.spotify.com/v1/audio-analysis/10RmUrJ28kkj7XgekcfZpc,139560,4,H
Tomorrow 2,GloRilla & Cardi B,2RkyV0KXNLstEKn2qb1KZ6,0.638,0.736,0,-5.13,1,0.537,0.0655,0.0,0.0883,0.785,160,spotify:track:2RkyV0KXNLstEKn2qb1KZ6,https://api.spotify.com/v1/tracks/2RkyV0KXNLstEKn2qb1KZ6,https://api.spotify.com/v1/audio-analysis/2RkyV0KXNLstEKn2qb1KZ6,113845,4,H
Love Again,The Kid LAROI,6ncsVXsY8FaxpK5yg1eMHI,0.643,0.417,4,-10.155,1,0.186,0.809,0.0147,0.168,0.355,94,spotify:track:6ncsVXsY8FaxpK5yg1eMHI,https://api.spotify.com/v1/tracks/6ncsVXsY8FaxpK5yg1eMHI,https://api.spotify.com/v1/audio-analysis/6ncsVXsY8FaxpK5yg1eMHI,89340,4,H
She Had Me At Heads Carolina,Cole Swindell,143NxyffZRHXdVD1MaO5u3,0.65,0.67,8,-3.047,1,0.0308,0.774,0.0,0.0966,0.655,133,spotify:track:143NxyffZRHXdVD1MaO5u3,https://api.spotify.com/v1/tracks/143NxyffZRHXdVD1MaO5u3,https://api.spotify.com/v1/audio-analysis/143NxyffZRHXdVD1MaO5u3,196307,4,H
Dawns,Zach Bryan Featuring Maggie Rogers,4soHgvFd9yGVrzTe9TROWl,0.727,0.164,6,-17.936,1,0.928,0.762,0.0,0.108,0.297,119,spotify:track:4soHgvFd9yGVrzTe9TROWl,https://api.spotify.com/v1/tracks/4soHgvFd9yGVrzTe9TROWl,https://api.spotify.com/v1/audio-analysis/4soHgvFd9yGVrzTe9TROWl,246733,3,H
Whiskey On You,Nate Smith,32ftcUIP8p7zmZT5vLBfy1,0.604,0.537,8,-10.459,1,0.0282,0.000729,0.85,0.0878,0.608,110,spotify:track:32ftcUIP8p7zmZT5vLBfy1,https://api.spotify.com/v1/tracks/32ftcUIP8p7zmZT5vLBfy1,https://api.spotify.com/v1/audio-analysis/32ftcUIP8p7zmZT5vLBfy1,185477,4,H
Super Freaky Girl,Nicki Minaj,4dFKEyGrwmIimMqwYleFOR,0.88,0.777,2,-4.465,1,0.256,0.102,0.0,0.37,0.88,133,spotify:track:4dFKEyGrwmIimMqwYleFOR,https://api.spotify.com/v1/tracks/4dFKEyGrwmIimMqwYleFOR,https://api.spotify.com/v1/audio-analysis/4dFKEyGrwmIimMqwYleFOR,234900,4,H
Nobody Gets Me,SZA,0njT9NV9xsV4hLkgZ8yOUD,0.613,0.665,1,-6.438,1,0.089,0.233,0.00025,0.0618,0.595,144,spotify:track:0njT9NV9xsV4hLkgZ8yOUD,https://api.spotify.com/v1/tracks/0njT9NV9xsV4hLkgZ8yOUD,https://api.spotify.com/v1/audio-analysis/0njT9NV9xsV4hLkgZ8yOUD,369160,4,H
Unstoppable,Sia,4W7uMjg5a9ZqgNZzpY6ekk,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,174,spotify:track:4W7uMjg5a9ZqgNZzpY6ekk,https://api.spotify.com/v1/tracks/4W7uMjg5a9ZqgNZzpY6ekk,https://api.spotify.com/v1/audio-analysis/4W7uMjg5a9ZqgNZzpY6ekk,217747,4,H
What My World Spins Around,Jordan Davis,0LaZ4n2gyWeO4kFtzpHQ5M,0.661,0.885,4,-4.25,1,0.0348,0.128,0.0,0.315,0.848,104,spotify:track:0LaZ4n2gyWeO4kFtzpHQ5M,https://api.spotify.com/v1/tracks/0LaZ4n2gyWeO4kFtzpHQ5M,https://api.spotify.com/v1/audio-analysis/0LaZ4n2gyWeO4kFtzpHQ5M,161553,4,H
Sunroof,Nicky Youre & dazy,7djmGGWiUoMu9YmWEHrELO,0.815,0.661,10,-5.056,1,0.0372,0.176,0.0,0.103,0.651,131,spotify:track:7djmGGWiUoMu9YmWEHrELO,https://api.spotify.com/v1/tracks/7djmGGWiUoMu9YmWEHrELO,https://api.spotify.com/v1/audio-analysis/7djmGGWiUoMu9YmWEHrELO,169654,4,H
I Ain't Worried,OneRepublic,73PAbYaVbnFG0tQ4aBfxeN,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,140,spotify:track:73PAbYaVbnFG0tQ4aBfxeN,https://api.spotify.com/v1/tracks/73PAbYaVbnFG0tQ4aBfxeN,https://api.spotify.com/v1/audio-analysis/73PAbYaVbnFG0tQ4aBfxeN,148486,4,H
About Damn Time,Lizzo,57IdGqRTGESDyidR9uUSOB,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,109,spotify:track:57IdGqRTGESDyidR9uUSOB,https://api.spotify.com/v1/tracks/57IdGqRTGESDyidR9uUSOB,https://api.spotify.com/v1/audio-analysis/57IdGqRTGESDyidR9uUSOB,191822,4,H
Lift Me Up,Rihanna,1Jb0BvBueT6TBcZKIRWoJ6,0.345,0.251,9,-14.902,1,0.0406,0.822,0.0993,0.0925,0.143,178,spotify:track:1Jb0BvBueT6TBcZKIRWoJ6,https://api.spotify.com/v1/tracks/1Jb0BvBueT6TBcZKIRWoJ6,https://api.spotify.com/v1/audio-analysis/1Jb0BvBueT6TBcZKIRWoJ6,195515,4,H
Que Vuelvas,Carin Leon X Grupo Frontera,4NfwBgmzmzx8WpyIy9C6p7,0.772,0.598,0,-7.355,0,0.0414,0.601,0.00712,0.123,0.862,141,spotify:track:4NfwBgmzmzx8WpyIy9C6p7,https://api.spotify.com/v1/tracks/4NfwBgmzmzx8WpyIy9C6p7,https://api.spotify.com/v1/audio-analysis/4NfwBgmzmzx8WpyIy9C6p7,391467,4,H
Low,SZA,1QnWNMc9ZSTLuAwhXzTYQT,0.667,0.678,10,-7.74,0,0.032,0.0332,0.0,0.163,0.539,129,spotify:track:1QnWNMc9ZSTLuAwhXzTYQT,https://api.spotify.com/v1/tracks/1QnWNMc9ZSTLuAwhXzTYQT,https://api.spotify.com/v1/audio-analysis/1QnWNMc9ZSTLuAwhXzTYQT,129849,4,H
One Thing At A Time,Morgan Wallen,4VWVupm8eU3Njc7YIQHs0F,0.504,0.513,0,-7.48,1,0.0277,0.129,0.0,0.685,0.0941,113,spotify:track:4VWVupm8eU3Njc7YIQHs0F,https://api.spotify.com/v1/tracks/4VWVupm8eU3Njc7YIQHs0F,https://api.spotify.com/v1/audio-analysis/4VWVupm8eU3Njc7YIQHs0F,373267,4,H
Tennessee Orange,Megan Moroney,6TQrhZOWTPmG1mESeDRyEN,0.159,0.137,0,-15.02,1,0.0369,0.603,0.918,0.108,0.0399,139,spotify:track:6TQrhZOWTPmG1mESeDRyEN,https://api.spotify.com/v1/tracks/6TQrhZOWTPmG1mESeDRyEN,https://api.spotify.com/v1/audio-analysis/6TQrhZOWTPmG1mESeDRyEN,224520,4,H
Bloody Mary,Lady Gaga,30c0cwPpyru7GjzKLJ51jM,0.794,0.522,9,-9.259,0,0.0316,0.0341,0.819,0.101,0.472,100,spotify:track:30c0cwPpyru7GjzKLJ51jM,https://api.spotify.com/v1/tracks/30c0cwPpyru7GjzKLJ51jM,https://api.spotify.com/v1/audio-analysis/30c0cwPpyru7GjzKLJ51jM,245133,4,H
What He Didn't Do,Carly Pearce,79ZBn845qsMjNPFKtuKEsF,0.523,0.723,9,-5.425,1,0.0436,0.112,0.0,0.61,0.276,138,spotify:track:79ZBn845qsMjNPFKtuKEsF,https://api.spotify.com/v1/tracks/79ZBn845qsMjNPFKtuKEsF,https://api.spotify.com/v1/audio-analysis/79ZBn845qsMjNPFKtuKEsF,194800,4,H
I Wrote The Book,Morgan Wallen,4vztnwssrON2PJAXtVf4An,0.716,0.414,9,-12.081,0,0.0618,0.538,1.04e-05,0.107,0.442,120,spotify:track:4vztnwssrON2PJAXtVf4An,https://api.spotify.com/v1/tracks/4vztnwssrON2PJAXtVf4An,https://api.spotify.com/v1/audio-analysis/4vztnwssrON2PJAXtVf4An,184831,4,H
Freestyle,Lil Baby,01JMnRUs2YOK6DDpdQASGY,0.817,0.513,10,-6.263,0,0.394,0.38,0.0,0.109,0.177,123,spotify:track:01JMnRUs2YOK6DDpdQASGY,https://api.spotify.com/v1/tracks/01JMnRUs2YOK6DDpdQASGY,https://api.spotify.com/v1/audio-analysis/01JMnRUs2YOK6DDpdQASGY,203438,4,H
Handle On You,Parker McCollum,6P7aZG4PRvErVyxtHIBts5,0.449,0.733,0,-3.583,1,0.0266,0.00455,6.81e-06,0.0996,0.433,142,spotify:track:6P7aZG4PRvErVyxtHIBts5,https://api.spotify.com/v1/tracks/6P7aZG4PRvErVyxtHIBts5,https://api.spotify.com/v1/audio-analysis/6P7aZG4PRvErVyxtHIBts5,194973,4,H
Everything I Love,Morgan Wallen,6KVuoJUrhbVgMrqZX5T7Kg,0.844,0.77,0,-8.629,1,0.0787,0.0422,1.38e-06,0.197,0.723,137,spotify:track:6KVuoJUrhbVgMrqZX5T7Kg,https://api.spotify.com/v1/tracks/6KVuoJUrhbVgMrqZX5T7Kg,https://api.spotify.com/v1/audio-analysis/6KVuoJUrhbVgMrqZX5T7Kg,245440,4,H
Wild As Her,Corey Kent,0IXdyGzVO91HrnNXW6P5TT,0.565,0.851,9,-5.601,1,0.0319,0.00141,0.0,0.345,0.372,125,spotify:track:0IXdyGzVO91HrnNXW6P5TT,https://api.spotify.com/v1/tracks/0IXdyGzVO91HrnNXW6P5TT,https://api.spotify.com/v1/audio-analysis/0IXdyGzVO91HrnNXW6P5TT,204040,4,H
Forget Me,Lewis Capaldi,3Xu1SbsuVDHrnzuNAZEXNB,0.716,0.454,4,-5.106,1,0.0318,0.751,0.0,0.143,0.486,102,spotify:track:3Xu1SbsuVDHrnzuNAZEXNB,https://api.spotify.com/v1/tracks/3Xu1SbsuVDHrnzuNAZEXNB,https://api.spotify.com/v1/audio-analysis/3Xu1SbsuVDHrnzuNAZEXNB,207307,4,H
Growin' Up And Gettin' Old,Luke Combs,5n4kMW5dn7MHFhXQuJb9zG,0.478,0.516,5,-7.276,1,0.0267,0.403,0.0,0.0823,0.376,80,spotify:track:5n4kMW5dn7MHFhXQuJb9zG,https://api.spotify.com/v1/tracks/5n4kMW5dn7MHFhXQuJb9zG,https://api.spotify.com/v1/audio-analysis/5n4kMW5dn7MHFhXQuJb9zG,196008,4,H
Here With Me,d4vd,0wY9rA9fJkuESyYm9uzVK5,0.784,0.586,1,-3.417,1,0.187,0.00558,0.000286,0.106,0.656,132,spotify:track:0wY9rA9fJkuESyYm9uzVK5,https://api.spotify.com/v1/tracks/0wY9rA9fJkuESyYm9uzVK5,https://api.spotify.com/v1/audio-analysis/0wY9rA9fJkuESyYm9uzVK5,171818,4,H
The Color Violet,Tory Lanez,2cK4RHjjvgs5vLrBdnZ022,0.81,0.366,0,-10.609,1,0.0841,0.0239,0.000186,0.0647,0.303,126,spotify:track:2cK4RHjjvgs5vLrBdnZ022,https://api.spotify.com/v1/tracks/2cK4RHjjvgs5vLrBdnZ022,https://api.spotify.com/v1/audio-analysis/2cK4RHjjvgs5vLrBdnZ022,188514,4,H
Spin Bout U,Drake & 21 Savage,7fyB1cxZ0zj69MQwdKnpk0,0.539,0.516,8,-10.208,1,0.027,0.254,1.23e-06,0.142,0.466,138,spotify:track:7fyB1cxZ0zj69MQwdKnpk0,https://api.spotify.com/v1/tracks/7fyB1cxZ0zj69MQwdKnpk0,https://api.spotify.com/v1/audio-analysis/7fyB1cxZ0zj69MQwdKnpk0,222647,4,H
Blind,SZA,3ADKmQCxv7dn7KboDdveMF,0.644,0.609,1,-8.041,0,0.0956,0.132,3e-06,0.332,0.345,160,spotify:track:3ADKmQCxv7dn7KboDdveMF,https://api.spotify.com/v1/tracks/3ADKmQCxv7dn7KboDdveMF,https://api.spotify.com/v1/audio-analysis/3ADKmQCxv7dn7KboDdveMF,240943,4,H
Love You Better,Future,6RZj1kBuWGiE7tgOiZErWR,0.644,0.355,5,-9.292,1,0.287,0.47,0.000313,0.112,0.549,75,spotify:track:6RZj1kBuWGiE7tgOiZErWR,https://api.spotify.com/v1/tracks/6RZj1kBuWGiE7tgOiZErWR,https://api.spotify.com/v1/audio-analysis/6RZj1kBuWGiE7tgOiZErWR,129480,4,H
La Bachata,Manuel Turizo,5QgwnXXptPRxrkglPpuraT,0.865,0.489,7,-9.508,0,0.0493,0.824,0.894,0.122,0.779,125,spotify:track:5QgwnXXptPRxrkglPpuraT,https://api.spotify.com/v1/tracks/5QgwnXXptPRxrkglPpuraT,https://api.spotify.com/v1/audio-analysis/5QgwnXXptPRxrkglPpuraT,155946,4,H
I'm Not Here To Make Friends,Sam Smith,2lsqxC8ycVQreqAGiMDrtT,0.185,0.244,9,-11.461,0,0.033,0.925,1.78e-05,0.13,0.0636,184,spotify:track:2lsqxC8ycVQreqAGiMDrtT,https://api.spotify.com/v1/tracks/2lsqxC8ycVQreqAGiMDrtT,https://api.spotify.com/v1/audio-analysis/2lsqxC8ycVQreqAGiMDrtT,211906,3,H
