title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,source
Young Boy Blues,JennyAnyKind,2cEnKRR4dYBB2VA1mjlb1z,0.777,0.59,0,-8.741,0,0.286,0.397,0.0,0.169,0.238,147.978,spotify:track:2cEnKRR4dYBB2VA1mjlb1z,https://api.spotify.com/v1/tracks/2cEnKRR4dYBB2VA1mjlb1z,https://api.spotify.com/v1/audio-analysis/2cEnKRR4dYBB2VA1mjlb1z,155738,4,N
The Urgency (LP Version),Wayne Watson,4qaxWylitp9qvg0zsaEqeo,0.768,0.541,1,-4.877,1,0.0764,0.00165,4.48e-06,0.29,0.515,169.064,spotify:track:4qaxWylitp9qvg0zsaEqeo,https://api.spotify.com/v1/tracks/4qaxWylitp9qvg0zsaEqeo,https://api.spotify.com/v1/audio-analysis/4qaxWylitp9qvg0zsaEqeo,223400,4,N
La Culpa,Andy Andy,1nJ3cRLFaI5SVns6udIWoG,0.61,0.565,8,-6.641,1,0.0263,0.363,0.00172,0.181,0.721,129.758,spotify:track:1nJ3cRLFaI5SVns6udIWoG,https://api.spotify.com/v1/tracks/1nJ3cRLFaI5SVns6udIWoG,https://api.spotify.com/v1/audio-analysis/1nJ3cRLFaI5SVns6udIWoG,180160,4,N
Auguri Cha Cha,Bob Azzam,1vvBUZseJ7fwYPX1NedOLd,0.792,0.698,1,-6.364,1,0.172,0.489,0.0788,0.127,0.751,129.971,spotify:track:1vvBUZseJ7fwYPX1NedOLd,https://api.spotify.com/v1/tracks/1vvBUZseJ7fwYPX1NedOLd,https://api.spotify.com/v1/audio-analysis/1vvBUZseJ7fwYPX1NedOLd,173938,4,N
Tonight Will Be Alright,Lionel Richie,0mHyWYXmmCB9iQyK18m3FQ,0.487,0.246,9,-14.104,0,0.0376,0.414,0.0,0.0983,0.0562,61.084,spotify:track:0mHyWYXmmCB9iQyK18m3FQ,https://api.spotify.com/v1/tracks/0mHyWYXmmCB9iQyK18m3FQ,https://api.spotify.com/v1/audio-analysis/0mHyWYXmmCB9iQyK18m3FQ,251107,4,N
Floating,Blue Rodeo,4MgPAPoNsUpJrVhKf1dCxz,0.504,0.635,4,-7.979,1,0.0273,0.312,6.69e-05,0.311,0.564,141.777,spotify:track:4MgPAPoNsUpJrVhKf1dCxz,https://api.spotify.com/v1/tracks/4MgPAPoNsUpJrVhKf1dCxz,https://api.spotify.com/v1/audio-analysis/4MgPAPoNsUpJrVhKf1dCxz,313920,4,N
High Tide,Richard Souther,5rmXmwXb0MacVfzb1fYJd2,0.625,0.667,3,-5.311,0,0.144,0.384,0.0,0.102,0.431,139.84,spotify:track:5rmXmwXb0MacVfzb1fYJd2,https://api.spotify.com/v1/tracks/5rmXmwXb0MacVfzb1fYJd2,https://api.spotify.com/v1/audio-analysis/5rmXmwXb0MacVfzb1fYJd2,123577,4,N
Sohna Nee Sohna Data,Faiz Ali Faiz,1eqNj2KekcQ8GKWoW4yFr6,0.489,0.752,2,-5.422,1,0.0372,0.665,0.000669,0.55,0.179,192.133,spotify:track:1eqNj2KekcQ8GKWoW4yFr6,https://api.spotify.com/v1/tracks/1eqNj2KekcQ8GKWoW4yFr6,https://api.spotify.com/v1/audio-analysis/1eqNj2KekcQ8GKWoW4yFr6,144250,4,N
Caught In A Dream,Tesla,2aahxM4jGWFWgMzmHpelAR,0.701,0.592,9,-10.567,1,0.147,0.782,0.0686,0.0832,0.455,120.007,spotify:track:2aahxM4jGWFWgMzmHpelAR,https://api.spotify.com/v1/tracks/2aahxM4jGWFWgMzmHpelAR,https://api.spotify.com/v1/audio-analysis/2aahxM4jGWFWgMzmHpelAR,165500,4,N
Synthetic Dream,lextrical,61QT5PtbSHbSY6d73SQh9M,0.681,0.538,1,-11.213,1,0.0347,0.128,0.196,0.0824,0.486,105.17,spotify:track:61QT5PtbSHbSY6d73SQh9M,https://api.spotify.com/v1/tracks/61QT5PtbSHbSY6d73SQh9M,https://api.spotify.com/v1/audio-analysis/61QT5PtbSHbSY6d73SQh9M,281893,4,N
Broken-Down Merry-Go-Round,Jimmy Wakely,39uLYYZytVUwcjgeYLI409,0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,spotify:track:39uLYYZytVUwcjgeYLI409,https://api.spotify.com/v1/tracks/39uLYYZytVUwcjgeYLI409,https://api.spotify.com/v1/audio-analysis/39uLYYZytVUwcjgeYLI409,311107,3,N
Kassie Jones,Alice Stuart,6uVN3Cj4R64MFSuFnmtYBk,0.582,0.41,11,-6.585,1,0.033,0.517,0.000186,0.195,0.498,110.232,spotify:track:6uVN3Cj4R64MFSuFnmtYBk,https://api.spotify.com/v1/tracks/6uVN3Cj4R64MFSuFnmtYBk,https://api.spotify.com/v1/audio-analysis/6uVN3Cj4R64MFSuFnmtYBk,220800,4,N
Setanta matins,Elena,4B75gl0hoi6aLycEsZ3NUx,0.529,0.0922,1,-20.48,0,0.0473,0.99,0.944,0.0963,0.37,107.39,spotify:track:4B75gl0hoi6aLycEsZ3NUx,https://api.spotify.com/v1/tracks/4B75gl0hoi6aLycEsZ3NUx,https://api.spotify.com/v1/audio-analysis/4B75gl0hoi6aLycEsZ3NUx,126592,4,N
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,3zlaF6d64vPWScaR0hSaqB,0.349,0.925,9,-6.767,0,0.157,6.02e-05,0.000312,0.0577,0.282,138.946,spotify:track:3zlaF6d64vPWScaR0hSaqB,https://api.spotify.com/v1/tracks/3zlaF6d64vPWScaR0hSaqB,https://api.spotify.com/v1/audio-analysis/3zlaF6d64vPWScaR0hSaqB,271307,5,N
James (Hold The Ladder Steady),SUE THOMPSON,1QhtBVIy0wQiQVQHkpVaUf,0.738,0.554,10,-10.492,1,0.0366,0.765,0.0,0.0874,0.965,137.982,spotify:track:1QhtBVIy0wQiQVQHkpVaUf,https://api.spotify.com/v1/tracks/1QhtBVIy0wQiQVQHkpVaUf,https://api.spotify.com/v1/audio-analysis/1QhtBVIy0wQiQVQHkpVaUf,136627,4,N
Made Like This (Live),Five Bolt Main,3kDhnBr0fAyrVBEHZ2sGKt,0.581,0.94,1,-4.096,1,0.039,0.000202,6.8e-05,0.0639,0.86,153.978,spotify:track:3kDhnBr0fAyrVBEHZ2sGKt,https://api.spotify.com/v1/tracks/3kDhnBr0fAyrVBEHZ2sGKt,https://api.spotify.com/v1/audio-analysis/3kDhnBr0fAyrVBEHZ2sGKt,211733,4,N
Superconfidential,Clp,3sjtQ07ptlPzw2N4YmGW3S,0.899,0.695,1,-4.749,1,0.346,0.113,0.0,0.112,0.394,139.027,spotify:track:3sjtQ07ptlPzw2N4YmGW3S,https://api.spotify.com/v1/tracks/3sjtQ07ptlPzw2N4YmGW3S,https://api.spotify.com/v1/audio-analysis/3sjtQ07ptlPzw2N4YmGW3S,177554,4,N
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,0eal3cEeHVC9UqEaW6OoIc,0.506,0.948,9,-5.427,1,0.478,0.652,2.31e-06,0.97,0.965,98.837,spotify:track:0eal3cEeHVC9UqEaW6OoIc,https://api.spotify.com/v1/tracks/0eal3cEeHVC9UqEaW6OoIc,https://api.spotify.com/v1/audio-analysis/0eal3cEeHVC9UqEaW6OoIc,53360,4,N
Spanish Grease,Willie Bobo,0xuhhrMo4rP2kg1XBeIBo1,0.732,0.825,7,-8.877,1,0.0432,0.00701,0.775,0.359,0.898,127.563,spotify:track:0xuhhrMo4rP2kg1XBeIBo1,https://api.spotify.com/v1/tracks/0xuhhrMo4rP2kg1XBeIBo1,https://api.spotify.com/v1/audio-analysis/0xuhhrMo4rP2kg1XBeIBo1,445240,4,N
Crazy Mixed Up World,Faye Adams,78FmqauADcWxkZPVVJeJI9,0.388,0.547,3,-9.336,1,0.0422,0.888,0.0,0.402,0.442,106.989,spotify:track:78FmqauADcWxkZPVVJeJI9,https://api.spotify.com/v1/tracks/78FmqauADcWxkZPVVJeJI9,https://api.spotify.com/v1/audio-analysis/78FmqauADcWxkZPVVJeJI9,173041,3,N
Do You Finally Need A Friend,Terry Callier,0zVduthKvT1FEsUGFWT9Xo,0.311,0.249,2,-16.052,1,0.0312,0.574,5.35e-05,0.108,0.0445,104.511,spotify:track:0zVduthKvT1FEsUGFWT9Xo,https://api.spotify.com/v1/tracks/0zVduthKvT1FEsUGFWT9Xo,https://api.spotify.com/v1/audio-analysis/0zVduthKvT1FEsUGFWT9Xo,307880,4,N
The Emperor Falls,John Wesley,0wfBooQ6QtDm63UIyIcDIj,0.579,0.479,5,-10.348,1,0.0294,0.206,0.00211,0.163,0.937,135.459,spotify:track:0wfBooQ6QtDm63UIyIcDIj,https://api.spotify.com/v1/tracks/0wfBooQ6QtDm63UIyIcDIj,https://api.spotify.com/v1/audio-analysis/0wfBooQ6QtDm63UIyIcDIj,177200,4,N
Twist and Shout,The Shangri-Las,7iFdUmdqT9XrsJdSGf9KrX,0.774,0.811,5,-6.526,1,0.0355,0.65,0.0,0.0736,0.963,123.354,spotify:track:7iFdUmdqT9XrsJdSGf9KrX,https://api.spotify.com/v1/tracks/7iFdUmdqT9XrsJdSGf9KrX,https://api.spotify.com/v1/audio-analysis/7iFdUmdqT9XrsJdSGf9KrX,155400,4,N
It Makes No Difference Now,Billie Jo Spears,7mTBUlWPquXPQzDg8yGLlJ,0.465,0.519,5,-11.819,1,0.0239,0.394,0.00156,0.204,0.881,86.6,spotify:track:7mTBUlWPquXPQzDg8yGLlJ,https://api.spotify.com/v1/tracks/7mTBUlWPquXPQzDg8yGLlJ,https://api.spotify.com/v1/audio-analysis/7mTBUlWPquXPQzDg8yGLlJ,215360,4,N
Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),7Lcna5S9qapc22K8N4RGKJ,0.602,0.753,4,-7.156,0,0.354,0.123,0.0,0.193,0.645,168.052,spotify:track:7Lcna5S9qapc22K8N4RGKJ,https://api.spotify.com/v1/tracks/7Lcna5S9qapc22K8N4RGKJ,https://api.spotify.com/v1/audio-analysis/7Lcna5S9qapc22K8N4RGKJ,173680,4,N
A?DA3nde va Chichi?,Sierra Maestra,2PBjy27ZMszCQ7itqZZjNo,0.645,0.23,9,-14.671,0,0.0711,0.851,4.74e-05,0.111,0.67,83.633,spotify:track:2PBjy27ZMszCQ7itqZZjNo,https://api.spotify.com/v1/tracks/2PBjy27ZMszCQ7itqZZjNo,https://api.spotify.com/v1/audio-analysis/2PBjy27ZMszCQ7itqZZjNo,122240,4,N
"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,4RlRwnxwwLmsgwUN0PSKEe,0.21,0.897,2,-8.898,0,0.085,0.0437,0.681,0.362,0.121,130.473,spotify:track:4RlRwnxwwLmsgwUN0PSKEe,https://api.spotify.com/v1/tracks/4RlRwnxwwLmsgwUN0PSKEe,https://api.spotify.com/v1/audio-analysis/4RlRwnxwwLmsgwUN0PSKEe,450840,4,N
OUTE ENA EFHARISTO,Despina Vandi,0qHDXKI58TdkAGIJhgIpTc,0.57,0.64,8,-6.961,0,0.0672,0.731,0.000327,0.1,0.332,127.621,spotify:track:0qHDXKI58TdkAGIJhgIpTc,https://api.spotify.com/v1/tracks/0qHDXKI58TdkAGIJhgIpTc,https://api.spotify.com/v1/audio-analysis/0qHDXKI58TdkAGIJhgIpTc,303027,4,N
Midnight Swim,Javier Navarrete,23GdqRfIyA2mIlrPwgbLW4,0.666,0.37,9,-10.779,0,0.0388,0.648,0.938,0.0827,0.218,135.997,spotify:track:23GdqRfIyA2mIlrPwgbLW4,https://api.spotify.com/v1/tracks/23GdqRfIyA2mIlrPwgbLW4,https://api.spotify.com/v1/audio-analysis/23GdqRfIyA2mIlrPwgbLW4,155576,4,N
In A Subtle Way,Jacob Young,51c5Wbzs0fPu6mwpDn3bsQ,0.456,0.0195,9,-33.594,1,0.04,0.982,0.924,0.106,0.269,126.086,spotify:track:51c5Wbzs0fPu6mwpDn3bsQ,https://api.spotify.com/v1/tracks/51c5Wbzs0fPu6mwpDn3bsQ,https://api.spotify.com/v1/audio-analysis/51c5Wbzs0fPu6mwpDn3bsQ,129762,4,N
Spin,Scarlet's Remains,2ZL7WZcjuYKi1KUDtp4kCC,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/tracks/2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/audio-analysis/2ZL7WZcjuYKi1KUDtp4kCC,214589,4,N
Burning In The Aftermath,The Suicide Machines,7bFNtX22XJMy5TuEpQfa3C,0.466,0.96,0,-3.888,1,0.0543,0.000481,0.0,0.37,0.907,104.753,spotify:track:7bFNtX22XJMy5TuEpQfa3C,https://api.spotify.com/v1/tracks/7bFNtX22XJMy5TuEpQfa3C,https://api.spotify.com/v1/audio-analysis/7bFNtX22XJMy5TuEpQfa3C,123000,4,N
Angie (1993 Digital Remaster),The Rolling Stones,5FQdAbZKZWwgeWTqTFVVMo,0.441,0.466,9,-9.101,0,0.0284,0.612,7.37e-05,0.112,0.464,139.07,spotify:track:5FQdAbZKZWwgeWTqTFVVMo,https://api.spotify.com/v1/tracks/5FQdAbZKZWwgeWTqTFVVMo,https://api.spotify.com/v1/audio-analysis/5FQdAbZKZWwgeWTqTFVVMo,271293,4,N
Sabor Guajiro,Roberto Torres,1anvIYY3hAtLL72lJA5z44,0.682,0.521,9,-11.434,0,0.249,0.549,1.63e-06,0.0311,0.832,92.728,spotify:track:1anvIYY3hAtLL72lJA5z44,https://api.spotify.com/v1/tracks/1anvIYY3hAtLL72lJA5z44,https://api.spotify.com/v1/audio-analysis/1anvIYY3hAtLL72lJA5z44,420333,4,N
Human Cannonball,Loudon Wainwright III,3b6A9CRGEIFU4NzSZt4rQY,0.443,0.701,9,-8.464,1,0.0576,0.00354,0.00123,0.0297,0.485,93.465,spotify:track:3b6A9CRGEIFU4NzSZt4rQY,https://api.spotify.com/v1/tracks/3b6A9CRGEIFU4NzSZt4rQY,https://api.spotify.com/v1/audio-analysis/3b6A9CRGEIFU4NzSZt4rQY,231947,4,N
Glory Be,R.L. Burnside,5ZBUC1YafitJgLt8dgZYTW,0.714,0.874,0,-3.802,1,0.0353,0.196,0.03,0.326,0.868,90.287,spotify:track:5ZBUC1YafitJgLt8dgZYTW,https://api.spotify.com/v1/tracks/5ZBUC1YafitJgLt8dgZYTW,https://api.spotify.com/v1/audio-analysis/5ZBUC1YafitJgLt8dgZYTW,196427,4,N
Crossfire,Stevie Ray Vaughan,5bAOP88AnFD11mTj0HisF2,0.477,0.715,8,-7.81,1,0.0329,0.037,0.00852,0.0991,0.891,116.102,spotify:track:5bAOP88AnFD11mTj0HisF2,https://api.spotify.com/v1/tracks/5bAOP88AnFD11mTj0HisF2,https://api.spotify.com/v1/audio-analysis/5bAOP88AnFD11mTj0HisF2,249893,4,N
I Can't Be Satisfied,John Hammond,7FDFtgdyzlBN0tUo3boGZe,0.665,0.273,2,-14.875,1,0.0509,0.968,0.0104,0.0794,0.692,103.589,spotify:track:7FDFtgdyzlBN0tUo3boGZe,https://api.spotify.com/v1/tracks/7FDFtgdyzlBN0tUo3boGZe,https://api.spotify.com/v1/audio-analysis/7FDFtgdyzlBN0tUo3boGZe,162933,4,N
Nashville Parthenon,Casiotone For The Painfully Alone,2BwRvOaG8JdpX3F5LqiLHo,0.692,0.434,1,-8.53,1,0.026,0.601,0.0,0.102,0.455,82.978,spotify:track:2BwRvOaG8JdpX3F5LqiLHo,https://api.spotify.com/v1/tracks/2BwRvOaG8JdpX3F5LqiLHo,https://api.spotify.com/v1/audio-analysis/2BwRvOaG8JdpX3F5LqiLHo,126440,4,N
Cocain Ducks,Ec8or,5HzrX4aKVfb1NQCsaqf6R0,0.544,0.765,4,-6.491,1,0.0259,0.00818,0.821,0.15,0.429,153.916,spotify:track:5HzrX4aKVfb1NQCsaqf6R0,https://api.spotify.com/v1/tracks/5HzrX4aKVfb1NQCsaqf6R0,https://api.spotify.com/v1/audio-analysis/5HzrX4aKVfb1NQCsaqf6R0,168740,4,N
Human Being,The New York Dolls,2OQS3xvoKKSayJMJT8dVuZ,0.478,0.698,7,-9.255,1,0.0321,0.00114,0.0,0.191,0.85,112.99,spotify:track:2OQS3xvoKKSayJMJT8dVuZ,https://api.spotify.com/v1/tracks/2OQS3xvoKKSayJMJT8dVuZ,https://api.spotify.com/v1/audio-analysis/2OQS3xvoKKSayJMJT8dVuZ,188307,4,N
The More I See You,Eliane Elias,5Vtq6dHdwbjHqifCeSL4d3,0.4,0.291,0,-11.997,1,0.0438,0.61,0.0,0.16,0.458,130.502,spotify:track:5Vtq6dHdwbjHqifCeSL4d3,https://api.spotify.com/v1/tracks/5Vtq6dHdwbjHqifCeSL4d3,https://api.spotify.com/v1/audio-analysis/5Vtq6dHdwbjHqifCeSL4d3,104773,4,N
Certain Things We Do,Lost Boyz,7MAUQy99aM2AutCLYPj2Cb,0.841,0.599,1,-3.121,1,0.161,0.0029,0.0,0.296,0.56,94.145,spotify:track:7MAUQy99aM2AutCLYPj2Cb,https://api.spotify.com/v1/tracks/7MAUQy99aM2AutCLYPj2Cb,https://api.spotify.com/v1/audio-analysis/7MAUQy99aM2AutCLYPj2Cb,270973,4,N
Forming,The Germs,4Jk6clW2UYpdJnwNYygcVd,0.346,0.734,2,-8.575,0,0.0508,0.0601,0.827,0.0781,0.416,140.053,spotify:track:4Jk6clW2UYpdJnwNYygcVd,https://api.spotify.com/v1/tracks/4Jk6clW2UYpdJnwNYygcVd,https://api.spotify.com/v1/audio-analysis/4Jk6clW2UYpdJnwNYygcVd,138371,4,N
MafuA!,Yamandu Costa,4BcmPOnvvHLz4HP9alWXJq,0.477,0.332,2,-13.546,1,0.0384,0.945,0.88,0.108,0.829,106.04,spotify:track:4BcmPOnvvHLz4HP9alWXJq,https://api.spotify.com/v1/tracks/4BcmPOnvvHLz4HP9alWXJq,https://api.spotify.com/v1/audio-analysis/4BcmPOnvvHLz4HP9alWXJq,191033,4,N
Driving Home For Christmas,Chris Rea,0ZoHHROTzwIYeNAHRPedTY,0.603,0.705,9,-7.547,1,0.0328,0.556,0.000123,0.342,0.89,90.12,spotify:track:0ZoHHROTzwIYeNAHRPedTY,https://api.spotify.com/v1/tracks/0ZoHHROTzwIYeNAHRPedTY,https://api.spotify.com/v1/audio-analysis/0ZoHHROTzwIYeNAHRPedTY,239947,4,N
Spooks In Space,Perrey And Kingsley,2DhgUbOZZNnQWe7eWjOA3O,0.832,0.768,0,-11.192,0,0.364,0.719,0.0189,0.249,0.696,102.351,spotify:track:2DhgUbOZZNnQWe7eWjOA3O,https://api.spotify.com/v1/tracks/2DhgUbOZZNnQWe7eWjOA3O,https://api.spotify.com/v1/audio-analysis/2DhgUbOZZNnQWe7eWjOA3O,126000,4,N
Tous Les GarASSons Et Les Filles,Eurythmics,5sStO6h1gsurZXbrxVpg16,0.734,0.368,9,-11.548,1,0.032,0.631,0.0793,0.16,0.88,107.615,spotify:track:5sStO6h1gsurZXbrxVpg16,https://api.spotify.com/v1/tracks/5sStO6h1gsurZXbrxVpg16,https://api.spotify.com/v1/audio-analysis/5sStO6h1gsurZXbrxVpg16,186467,3,N
Too Much Saturn,Francis Dunnery,5PnnEBtTbte2jhhfao9aJ9,0.582,0.292,6,-9.913,1,0.09,0.943,0.000124,0.228,0.381,69.572,spotify:track:5PnnEBtTbte2jhhfao9aJ9,https://api.spotify.com/v1/tracks/5PnnEBtTbte2jhhfao9aJ9,https://api.spotify.com/v1/audio-analysis/5PnnEBtTbte2jhhfao9aJ9,179240,4,N
Movement 4 [from Kiss] (Album Version),John Cale,1oAr9H6Qw5gaqBJaZeMwS0,0.668,0.427,4,-12.334,1,0.0399,0.128,2.39e-05,0.0686,0.894,83.19,spotify:track:1oAr9H6Qw5gaqBJaZeMwS0,https://api.spotify.com/v1/tracks/1oAr9H6Qw5gaqBJaZeMwS0,https://api.spotify.com/v1/audio-analysis/1oAr9H6Qw5gaqBJaZeMwS0,227600,4,N
Stream,Suzanne Ciani,0YLRPkKlvj43bbh6KDtqxF,0.27,0.141,7,-19.937,1,0.0333,0.756,0.964,0.118,0.246,70.226,spotify:track:0YLRPkKlvj43bbh6KDtqxF,https://api.spotify.com/v1/tracks/0YLRPkKlvj43bbh6KDtqxF,https://api.spotify.com/v1/audio-analysis/0YLRPkKlvj43bbh6KDtqxF,242907,3,N
Make Me Over,Vickie Winans,19CFaRVxBHz6VnR9IGdtGt,0.488,0.585,8,-7.544,1,0.04,0.0107,0.0,0.15,0.185,73.012,spotify:track:19CFaRVxBHz6VnR9IGdtGt,https://api.spotify.com/v1/tracks/19CFaRVxBHz6VnR9IGdtGt,https://api.spotify.com/v1/audio-analysis/19CFaRVxBHz6VnR9IGdtGt,426933,4,N
Deform (live),The Berzerker,01FOvwjeJLqm7EZMPxmcry,0.241,0.992,11,-6.131,0,0.257,0.00057,0.0136,0.283,0.0352,113.984,spotify:track:01FOvwjeJLqm7EZMPxmcry,https://api.spotify.com/v1/tracks/01FOvwjeJLqm7EZMPxmcry,https://api.spotify.com/v1/audio-analysis/01FOvwjeJLqm7EZMPxmcry,166987,4,N
Wicker Chair,Kings Of Leon,41QhRnFDdhMLtR8tmnolbr,0.56,0.32,8,-14.34,1,0.0313,0.505,0.472,0.11,0.107,82.511,spotify:track:41QhRnFDdhMLtR8tmnolbr,https://api.spotify.com/v1/tracks/41QhRnFDdhMLtR8tmnolbr,https://api.spotify.com/v1/audio-analysis/41QhRnFDdhMLtR8tmnolbr,329667,4,N
An ti chans',Edith Lefel,200n4pv4B6L2LfcCaBcybk,0.571,0.75,7,-5.987,0,0.0307,0.419,0.0,0.104,0.563,87.982,spotify:track:200n4pv4B6L2LfcCaBcybk,https://api.spotify.com/v1/tracks/200n4pv4B6L2LfcCaBcybk,https://api.spotify.com/v1/audio-analysis/200n4pv4B6L2LfcCaBcybk,242867,4,N
I Will Love Again (JJ's Club Radio),Taras,1raT3L0NJtc10t7xNgHJZ1,0.643,0.757,9,-8.031,0,0.0347,0.0435,1.35e-06,0.0883,0.471,126.975,spotify:track:1raT3L0NJtc10t7xNgHJZ1,https://api.spotify.com/v1/tracks/1raT3L0NJtc10t7xNgHJZ1,https://api.spotify.com/v1/audio-analysis/1raT3L0NJtc10t7xNgHJZ1,223040,4,N
Stickin In My Eye,NOFX,6snWmANrXPAHLAWXLQlm3m,0.296,0.978,9,-4.372,1,0.121,0.000473,0.00255,0.102,0.169,153.845,spotify:track:6snWmANrXPAHLAWXLQlm3m,https://api.spotify.com/v1/tracks/6snWmANrXPAHLAWXLQlm3m,https://api.spotify.com/v1/audio-analysis/6snWmANrXPAHLAWXLQlm3m,143320,4,N
Ota kiinni,Murskahumppa,6ECfAo1LhhIuiCQdRdpZqU,0.84,0.601,11,-7.841,0,0.279,0.13,0.0,0.268,0.387,91.115,spotify:track:6ECfAo1LhhIuiCQdRdpZqU,https://api.spotify.com/v1/tracks/6ECfAo1LhhIuiCQdRdpZqU,https://api.spotify.com/v1/audio-analysis/6ECfAo1LhhIuiCQdRdpZqU,192093,4,N
Entre CanAbales,Soda Stereo,0ePI3CMwhjRV3ZWas3gTU9,0.551,0.608,7,-10.231,1,0.0277,0.00559,0.0143,0.137,0.604,112.318,spotify:track:0ePI3CMwhjRV3ZWas3gTU9,https://api.spotify.com/v1/tracks/0ePI3CMwhjRV3ZWas3gTU9,https://api.spotify.com/v1/audio-analysis/0ePI3CMwhjRV3ZWas3gTU9,246693,4,N
